Year,Loudness,Hotttnesss,Familiarity
1926,-19.239,0.382846902,0.594866645
1926,-24.106,0.382846902,0.594866645
1927,-17.714,0.385567523,0.507110849
1927,-11.383,0.385344914,0.591423659
1927,-19.308,0.382846902,0.594866645
1929,-14.873,0.375593583,0.574300068
1930,-15.164,0.375593583,0.574300068
1930,-18.338,0.35303574,0.519000072
1934,-30.53,0.375593583,0.574300068
1935,-15.832,0.35303574,0.519000072
1935,-18.335,0.35303574,0.519000072
1936,-10.697,0.342626791,0.481703586
1940,-14.873,0.424487599,0.572470888
1940,-22.507,0.424487599,0.572470888
1947,-26.997,0.313647771,0.425883322
1947,-11.992,0.313647771,0.425883322
1950,-16.472,0.333723342,0.505074303
1953,-14.837,0.36134021,0.437634718
1953,-13.624,0.394289662,0.633408899
1953,-13.164,0.319119602,0.440042445
1953,-7.96,0.423070612,0.570506936
1954,-9.302,0.355974359,0.520553746
1955,-16.252,0.43676907,0.641172818
1956,-23.549,0.369076871,0.624200328
1956,-14.562,0.394289662,0.633408899
1956,-6.56,0.467565441,0.719492291
1956,-11.242,0.394289662,0.633408899
1956,-10.182,0.542289933,0.7087354
1956,-6.555,0.542289933,0.7087354
1956,-16.968,0.397775654,0.56412895
1957,-12.057,0.387333146,0.591696069
1958,-16.678,0.364258871,0.560215648
1958,-12.534,0.419408141,0.693327979
1958,-10.283,0.419408141,0.693327979
1958,-14.925,0.316486173,0.491651052
1958,-9.936,0.419408141,0.693327979
1958,-9.9,0.419408141,0.693327979
1959,-13.136,0.735208878,0.817256939
1959,-9.378,0.45608052,0.616698192
1959,-23.581,0.360053307,0.540037749
1959,-13.338,0.257496328,0.305523628
1959,-14.819,0.419408141,0.693327979
1959,-15.854,0.379651219,0.540750151
1959,-8.601,0.438168226,0.610427725
1959,-19.002,0.379651219,0.540750151
1959,-14.963,0.458738221,0.645192339
1960,-9.79,0.379137556,0.66229871
1960,-18.341,0.389589781,0.589259678
1960,-11.539,0.379137556,0.66229871
1960,-6.615,0.382593001,0.609636698
1960,-10.067,0.379436972,0.635757022
1960,-20.691,0.379651219,0.540750151
1960,-12.675,0.390828596,0.578998679
1960,-10.002,0.566912407,0.669371502
1960,-12.992,0.566912407,0.669371502
